bottle,n,p,np,day,hrs,chla.init,chla,nh4.init,nh4,srp.init,srp
14,50,4,27.64191423,2,23.38333333,0.081666667,0.08,1.964077316,13.19375802,5.257665455,4.227724935
15,10,9,2.457059042,2,23.35,0.081666667,0.05,1.964077316,4.44451454,5.257665455,5.583900856
16,10,17,1.300795964,2,23.35,0.081666667,0.05,1.964077316,4.296667412,5.257665455,6.18664571
17,50,2,55.28382845,2,23.4,0.081666667,0.09,1.964077316,16.82909688,5.257665455,4.981156002
18,Control,Control,Control,2,23.48333333,0.081666667,0.05,1.964077316,2.178273143,5.257665455,7.542821631
19,30,4,16.58514854,2,23.43333333,0.081666667,0.08,1.964077316,8.70723537,5.257665455,3.172921441
20,30,17,3.902387891,2,23.41666667,0.081666667,0.09,1.964077316,,5.257665455,6.488018137
21,50,17,6.503979818,2,23.56666667,0.081666667,0.09,1.964077316,15.1873986,5.257665455,4.679783575
22,30,2,33.17029707,2,23.53333333,0.081666667,0.073333333,1.964077316,6.096843963,5.257665455,4.378411148
23,10,1,22.11353138,2,23.61666667,0.081666667,0.04,1.964077316,3.00189501,5.257665455,21.10458084
24,10,22,1.005160517,2,23.65,0.081666667,0.05,1.964077316,5.467981952,5.257665455,10.70723211
25,Control,Control,Control,2,23.66666667,0.081666667,0.05,1.964077316,1.857142569,5.257665455,6.035959496
26,50,17,6.503979818,2,23.65,0.081666667,0.08,1.964077316,17.4497903,5.257665455,5.885273283
27,50,13,8.505204377,2,23.68333333,0.081666667,0.08,1.964077316,12.59687129,5.257665455,2.570176587
28,10,2,11.05676569,2,23.65,0.081666667,0.05,1.964077316,2.450155981,5.257665455,6.63870435
29,30,2,33.17029707,2,23.76666667,0.081666667,0.07,1.964077316,7.0742851,5.257665455,10.70723211
30,10,4,5.528382845,2,23.78333333,0.081666667,0.06,1.964077316,2.537900653,5.257665455,4.679783575
31,30,22,3.015481552,2,23.76666667,0.081666667,0.07,1.964077316,13.48992463,5.257665455,59.8309377
32,50,4,27.64191423,2,23.81666667,0.081666667,0.07,1.964077316,13.30013237,5.257665455,15.67987716
33,50,9,12.28529521,2,23.86666667,0.081666667,0.08,1.964077316,14.34142332,5.257665455,5.282528429
34,10,13,1.701040875,2,23.86666667,0.081666667,0.04,1.964077316,5.271545236,5.257665455,7.542821631
35,30,9,7.371177127,2,23.88333333,0.081666667,0.07,1.964077316,7.375595657,5.257665455,6.337331923
36,30,17,3.902387891,2,23.95,0.081666667,0.07,1.964077316,16.0763141,5.257665455,24.26899132
37,30,4,16.58514854,2,23.91666667,0.081666667,0.06,1.964077316,10.84894036,5.257665455,11.00860454
38,10,9,2.457059042,2,23.86666667,0.081666667,0.06,1.964077316,2.985913664,5.257665455,9.501742406
39,30,1,66.34059414,2,23.86666667,0.081666667,0.07,1.964077316,5.18131755,5.257665455,5.131842216
40,50,22,5.025802587,2,23.85,0.081666667,0.07,1.964077316,14.25799282,5.257665455,10.10448726
41,50,1,110.5676569,2,23.83333333,0.081666667,0.07,1.964077316,18.24282403,5.257665455,9.200369979
42,30,13,5.103122626,2,23.8,0.081666667,0.09,1.964077316,11.54737397,5.257665455,4.529097362
43,10,17,1.300795964,2,23.8,0.081666667,0.04,1.964077316,2.419906364,5.257665455,54.55692023
44,50,2,55.28382845,2,23.78333333,0.081666667,0.06,1.964077316,14.76424406,5.257665455,4.679783575
45,10,17,1.300795964,2,23.63333333,0.081666667,0.03,1.964077316,3.456347795,5.257665455,6.18664571
46,50,2,55.28382845,2,23.65,0.081666667,0.06,1.964077316,13.90812416,5.257665455,167.5715803
47,30,4,16.58514854,2,23.7,0.081666667,0.05,1.964077316,5.957184323,5.257665455,27.43340181
48,10,9,2.457059042,2,23.68333333,0.081666667,0.03,1.964077316,3.292440596,5.257665455,14.32370124
49,10,2,11.05676569,2,23.4,0.081666667,0.04,1.964077316,2.460938272,5.257665455,11.15929075
50,Control,Control,Control,2,23.4,0.081666667,0.03,1.964077316,2.008220605,5.257665455,78.36534195
51,50,9,12.28529521,2,23.38333333,0.081666667,0.04,1.964077316,9.754635437,5.257665455,9.501742406
52,50,1,110.5676569,2,23.35,0.081666667,0.04,1.964077316,19.02598869,5.257665455,41.44721966
53,10,13,1.701040875,2,23.35,0.081666667,0.04,1.964077316,4.550133127,5.257665455,15.67987716
54,30,2,33.17029707,2,23.36666667,0.081666667,0.04,1.964077316,4.759457263,5.257665455,34.51565384
55,10,22,1.005160517,2,23.36666667,0.081666667,0.04,1.964077316,4.066347094,5.257665455,14.77575988
56,30,9,7.371177127,2,23.38333333,0.081666667,0.05,1.964077316,8.886478363,5.257665455,17.63879793
57,30,13,5.103122626,2,23.36666667,0.081666667,0.043333333,1.964077316,14.52601179,5.257665455,4.830469789
58,50,17,6.503979818,2,23.35,0.081666667,0.05,1.964077316,14.8752097,5.257665455,6.789390564
59,50,13,8.505204377,2,23.35,0.081666667,0.04,1.964077316,11.90491367,5.257665455,9.501742406
60,10,1,22.11353138,2,23.35,0.081666667,0.03,1.964077316,1.651290242,5.257665455,5.734587069
61,10,4,5.528382845,2,23.38333333,0.081666667,0.04,1.964077316,4.200212513,5.257665455,3.775666295
62,50,4,27.64191423,2,23.38333333,0.081666667,0.05,1.964077316,10.41236149,5.257665455,15.52919094
63,50,22,5.025802587,2,23.36666667,0.081666667,0.04,1.964077316,15.00802649,5.257665455,13.8716426
