bottle,n,p,np,ntrt,nfac,nstand,p.s,np.s,n.s,chla.init,nh4.init,srp.init,day1to3growth,day1to2growth,day2to3growth,day1to2srp,day2to3srp,day1to3srp,day1to2nh4,day2to3nh4,day1to3nh4,day,hrs,chla,nh4,srp,growth
4,50,22,5.025802587,50,c,0.6091237526412396,0.8272032722578386,-0.2682420162042105,0.609,0.081666667,1.964077316,5.257665455,0.0038284296346098243,0.0012784090907274987,0.006369426751592357,0.12650181049339468,-0.2309594067091295,-0.05254558400194642,0.5394574118267816,0.8751164781316346,0.707584409577626,2,23.46666667,0.08,12.75975821,8.748311338,0.0012784090907274987
4,50,22,5.025802587,50,c,0.6091237526412396,0.8272032722578386,-0.2682420162042105,0.609,0.081666667,1.964077316,5.257665455,0.0038284296346098243,0.0012784090907274987,0.006369426751592357,0.12650181049339468,-0.2309594067091295,-0.05254558400194642,0.5394574118267816,0.8751164781316346,0.707584409577626,3,23.55,0.23,33.36875127,3.30921731,0.006369426751592357
5,50,1,110.5676569,50,c,0.6091237526412396,-0.5847286425168899,1.6970369646193222,0.609,0.081666667,1.964077316,5.257665455,0.0021291696241489237,8.534850641327861e-4,0.003399433428243545,-0.4570550494960249,-0.024455604734342145,-0.24029478831657836,0.2963399031715988,0.4584369123878806,0.377560973793834,1,24.66666667,0.05,12.24478243,15.3901069,-0.0012837837971238128
5,50,1,110.5676569,50,c,0.6091237526412396,-0.5847286425168899,1.6970369646193222,0.609,0.081666667,1.964077316,5.257665455,0.0021291696241489237,8.534850641327861e-4,0.003399433428243545,-0.4570550494960249,-0.024455604734342145,-0.24029478831657836,0.2963399031715988,0.4584369123878806,0.377560973793834,2,23.43333333,0.07,19.18901416,4.679783575,8.534850641327861e-4
5,50,1,110.5676569,50,c,0.6091237526412396,-0.5847286425168899,1.6970369646193222,0.609,0.081666667,1.964077316,5.257665455,0.0021291696241489237,8.534850641327861e-4,0.003399433428243545,-0.4570550494960249,-0.024455604734342145,-0.24029478831657836,0.2963399031715988,0.4584369123878806,0.377560973793834,3,23.53333333,0.15,29.97756283,4.104261677,0.003399433428243545
6,30,1,66.34059414,30,b,0,-0.5847286425168899,0.8734914869359238,0,0.081666667,1.964077316,5.257665455,0.002981895633652822,0.0012811387898532184,0.004674220963834875,-0.3145480410086053,-0.15888331633978514,-0.2365222720340788,0.16333480157105554,0.47647043556323937,0.3202916759531416,1,24.71666667,0.05,0.562382544,12.34682263,-0.0012811867968602578
6,30,1,66.34059414,30,b,0,-0.5847286425168899,0.8734914869359238,0,0.081666667,1.964077316,5.257665455,0.002981895633652822,0.0012811387898532184,0.004674220963834875,-0.3145480410086053,-0.15888331633978514,-0.2365222720340788,0.16333480157105554,0.47647043556323937,0.3202916759531416,2,23.41666667,0.08,4.387139148,4.981156002,0.0012811387898532184
6,30,1,66.34059414,30,b,0,-0.5847286425168899,0.8734914869359238,0,0.081666667,1.964077316,5.257665455,0.002981895633652822,0.0012811387898532184,0.004674220963834875,-0.3145480410086053,-0.15888331633978514,-0.2365222720340788,0.16333480157105554,0.47647043556323937,0.3202916759531416,3,23.53333333,0.19,15.60007673,1.242101958,0.004674220963834875
7,50,13,8.505204377,50,c,0.6091237526412396,0.22208959449724067,-0.2034525992640108,0.609,0.081666667,1.964077316,5.257665455,0.005110007097957417,0.0015647226318015253,0.008640226615954705,0.057161624517377205,-0.11445261528533324,-0.02882819329720769,0.45062885720492585,0.9039135706662766,0.6777537739570978,1,24.4,0.063333333,-0.045270459,5.299216949,-7.513661475409834e-4
7,50,13,8.505204377,50,c,0.6091237526412396,0.22208959449724067,-0.2034525992640108,0.609,0.081666667,1.964077316,5.257665455,0.005110007097957417,0.0015647226318015253,0.008640226615954705,0.057161624517377205,-0.11445261528533324,-0.02882819329720769,0.45062885720492585,0.9039135706662766,0.6777537739570978,2,23.43333333,0.1,10.51446576,6.63870435,0.0015647226318015253
