bottle,n,p,np,ntrt,nfac,nstand,p.s,np.s,n.s,hrs_1,hrs_2,hrs_3,chla.init,chla_1,chla_2,chla_3,nh4.init,nh4_1,nh4_2,nh4_3,srp.init,srp_1,srp_2,srp_3,growth_1,growth_2,growth_3,day1to3growth,day1to2growth,day2to3growth,day1to2srp,day2to3srp,day1to3srp,day1to2nh4,day2to3nh4,day1to3nh4
11,30,9,7.371177127,30,b,0,-0.046849817840802846,-0.22456914996906696,0,24.8,23.38333333,23.58333333,0.081666667,0.05,0.07,0.2,1.964077316,-0.285437108,5.352900519,19.81225512,5.257665455,3.857661242,8.597625125,12.53173196,-0.0012768817338709676,8.553100500150123e-4,0.005512367491945212,0.0031937544362233864,8.553100500150123e-4,0.005512367491945212,0.2027069372919041,0.16681725097764202,0.18468567890485246,0.24112634188754475,0.6131175096696986,0.42791395807351507
12,10,2,11.05676569,10,a,-0.6091237526412396,-0.517493789432379,-0.15594036016832402,-0.609,25.05,23.38333333,23.55,0.081666667,0.05,0.06,0.13,1.964077316,0.55608763,1.191877729,7.09599928,5.257665455,3.216969817,12.36478046,7.761465762,-0.0012641384031936125,4.2765502500750587e-4,0.0029723991507431,0.0017045454546665163,4.2765502500750587e-4,0.0029723991507431,0.3912107189296095,-0.19546983855626326,0.09682874883500206,0.027189883068736972,0.25070579834394907,0.13934470846160119
13,10,4,5.528382845,10,a,-0.6091237526412396,-0.38302408326335724,-0.2588835448787488,-0.609,25.13333333,23.4,23.51666667,0.081666667,0.04,0.06,0.16,1.964077316,1.731741218,3.460787932,13.17389377,5.257665455,3.05679696,5.282528429,9.192545622,-0.0016578249471694729,8.547008547008546e-4,0.0042523033303682066,0.0025577264651823997,8.547008547008546e-4,0.0042523033303682066,0.09511672944444446,0.1662657913159085,0.13077972280420752,0.07389088521367522,0.41303072303146265,0.24388247000753943
14,50,4,27.64191423,50,c,0.6091237526412396,-0.38302408326335724,0.1528891940560546,0.609,24.98333333,23.38333333,23.55,0.081666667,0.05,0.08,0.21,1.964077316,1.909272552,13.19375802,25.88991058,5.257665455,1.935586966,4.227724935,13.96281182,-0.0012675116879609753,0.0012829650750225182,0.005520169851380042,0.0034090909093330317,0.0012829650750225182,0.005520169851380042,0.09802443204533494,0.4133794855626327,0.25626189321422316,0.4825866915014379,0.5391147583864118,0.51095109438288
15,10,9,2.457059042,10,a,-0.6091237526412396,-0.046849817840802846,-0.316074203055345,-0.609,25.06666667,23.35,23.53333333,0.081666667,0.04,0.05,0.15,1.964077316,1.095579578,4.44451454,13.12544191,5.257665455,16.51131689,5.583900856,1.878137451,-0.001662234055630022,4.282655246252677e-4,0.004249291785304431,0.0023462495558013684,4.282655246252677e-4,0.004249291785304431,-0.4679835560599572,-0.1574686999514828,-0.31211900689741334,0.14342333884368308,0.36887793362165405,0.2565914468436965
16,10,17,1.300795964,10,a,-0.6091237526412396,0.4910290068352842,-0.3376048037661933,-0.609,25.25,23.35,23.55,0.081666667,0.04,0.05,0.17,1.964077316,-0.255857782,4.296667412,13.30204601,5.257665455,5.779735518,6.18664571,20.00514901,-0.0016501650297029702,4.282655246252677e-4,0.005095541401273886,0.0027718550106609805,4.282655246252677e-4,0.005095541401273886,0.01742656068522483,0.5867729639065817,0.30331372051172706,0.1949689590578158,0.3823939956687898,0.2890811043070362
17,50,2,55.28382845,50,c,0.6091237526412396,-0.517493789432379,0.6676051175150743,0.609,25.03333333,23.4,23.43333333,0.081666667,0.05,0.09,0.16,1.964077316,6.114773324,16.82909688,26.95407542,5.257665455,4.498352667,4.981156002,1.719128578,-0.0012649800401151768,0.0017094017094017092,0.0029871977244647512,0.0023487544485657477,0.0017094017094017092,0.0029871977244647512,0.020632621153846148,-0.1392045842587773,-0.05934286311454396,0.45787707504273517,0.4320758979277489,0.4449673045725955
19,30,4,16.58514854,30,b,0,-0.38302408326335724,-0.05299717536479502,0,25.48333333,23.43333333,23.36666667,0.081666667,0.05,0.08,0.14,1.964077316,0.715952594,8.70723537,15.76418142,5.257665455,7.221291225,3.172921441,6.17137703,-0.0012426422630794822,0.0012802275961991789,0.0025677603420017465,0.0019230769230769234,0.0012802275961991789,0.0025677603420017465,-0.17276115723652363,0.12832192247812813,-0.022434063995726488,0.34102202462887937,0.30200910338059783,0.321543350982906
20,30,17,3.902387891,30,b,0,0.4910290068352842,-0.2891609521388534,0,25.51666667,23.41666667,23.35,0.081666667,0.04,0.09,0.206666667,1.964077316,0.138389647,NA,28.00159756,5.257665455,4.81869838,6.488018137,8.079483509,-0.0016329196732027538,0.002135231316422031,0.00499643113490364,0.003563791881428097,0.002135231316422031,0.00499643113490364,0.0712876764453683,0.06815697524625264,0.0697245572794209,NA,NA,0.5957920437137709
21,50,17,6.503979818,50,c,0.6091237526412396,0.4910290068352842,-0.24071710051151354,0.609,25.23333333,23.56666667,23.21666667,0.081666667,0.04,0.09,0.21,1.964077316,0.425106659,15.1873986,31.02663364,5.257665455,9.784056926,4.679783575,10.30560773,-0.0016512549671930323,0.002121640735202031,0.0051687006453454845,0.003633772710561628,0.002121640735202031,0.0051687006453454845,-0.21658868530175548,0.24231834117123932,0.011148218110274576,0.6264055985394051,0.6822355364418902,0.6541117273239598
